name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,detail_link,source_link,source_name
Bedfordshire Super Naga Chili,,,,,,1120000,,,http://pepperheadsforlife.com/bedfordshire-super-naga-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dorset Naga Pepper,,,,,,1100000,,,http://pepperheadsforlife.com/dorset-naga-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Naga Jolokia,,,,,,1100000,,,http://pepperheadsforlife.com/the-scoville-scale/naga-jolokia-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Naga Morich,,,,,,1100000,,,http://pepperheadsforlife.com/the-scoville-scale/naga-morich-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Spanish Naga Chili,,,,,,1086844,,,http://pepperheadsforlife.com/spanish-naga-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Madballz,,,,,,1066882,,,http://pepperheadsforlife.com/the-scoville-scale/7-pot-madballz/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bhut Jolokia Pepper,,,,,,1041427,,,http://pepperheadsforlife.com/bhut-jolokia-pepper-ghost-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chocolate Bhut Jolokia,,,,,,1001304,,,http://pepperheadsforlife.com/chocolate-bhut-jolokia/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
7 Pot Brain Strain,,,,,,1000000,,,http://pepperheadsforlife.com/the-scoville-scale/7-pot-brain-strain/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bhut Jolokia Indian Carbon,,,,,,1000000,,,http://pepperheadsforlife.com/the-scoville-scale/bhut-jolokia-indian-carbon/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Trinidad Scorpion,,,,,,1000000,,,http://pepperheadsforlife.com/trinidad-scorpion-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Raja Mirch,,,,,,900000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Habanaga Pepper,,,,,,800000,,,http://pepperheadsforlife.com/habanaga-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Nagabon Jolokia,,,,,,800000,,,http://pepperheadsforlife.com/the-scoville-scale/nagabon-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Savina Habanero,,,,,,580000,,,http://pepperheadsforlife.com/red-savina-habanero/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Fatalii,,,,,,500000,,,http://pepperheadsforlife.com/the-scoville-scale/fatalii-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Chombo,,,,,,500000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pingo de Ouro,,,,,,500000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aribibi Gusano,,,,,,470000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Caribbean Red Habanero,,,,,,400000,,,http://pepperheadsforlife.com/caribbean-red-habanero/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chocolate Habanero,,,,,,350000,,,http://pepperheadsforlife.com/chocolate-habanero-peppers/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Datil Pepper,,,,,,350000,,,http://pepperheadsforlife.com/datil-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Habanero,,,,,,350000,,,http://pepperheadsforlife.com/habanero-peppers/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Jamaican Hot Pepper,,,,,,350000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Madame Jeanette chili,,,,,,350000,,,http://pepperheadsforlife.com/the-scoville-scale/madame-jeanette/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Rocoto Pepper,,,,,,350000,,,http://pepperheadsforlife.com/rocoto-peppers/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Scotch Bonnet,,,,,,350000,,,http://pepperheadsforlife.com/scotch-bonnet-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Zimbabwe Bird Chili,,,,,,350000,,,http://pepperheadsforlife.com/the-scoville-scale/zimbabwe-bird-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Adjuma,,,,,,350000,,,http://pepperheadsforlife.com/the-scoville-scale/adjuma-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Guyana Wiri Wiri,,,,,,350000,,,http://pepperheadsforlife.com/the-scoville-scale/guyana-wiri-wiri/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tiger Paw,,,,,,348634,,,http://pepperheadsforlife.com/tiger-paw-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Big Sun Habanero,,,,,,325000,,,http://pepperheadsforlife.com/the-scoville-scale/big-sun-habanero/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Mustard Habanero,,,,,,300000,,,http://pepperheadsforlife.com/the-scoville-scale/mustard-habanero/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Devil’s Tongue,,,,,,300000,,,http://pepperheadsforlife.com/devils-tongue-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Orange Rocoto Pepper,,,,,,300000,,,http://pepperheadsforlife.com/the-scoville-scale/orange-rocoto-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Paper Lantern Habanero,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Piri Piri,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Cheese,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Rocoto,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tepin Pepper,,,,,,300000,,,http://pepperheadsforlife.com/the-scoville-scale/tepin-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Thai Burapa,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
White Habanero,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Yellow Habanero,,,,,,300000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Texas Chiltepin,,,,,,265000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pimenta de Neyde,,,,,,250000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Maori,,,,,,240000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Quintisho,,,,,,240000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bird’s Eye Chili,,,,,,225000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ecuador Hot,,,,,,186000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Shogaol,,,,,,160000,,,http://pepperheadsforlife.com/pepper-extract-scale/shogaol/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Sparkler,,,,,,160000,,,http://pepperheadsforlife.com/the-scoville-scale/sparkler-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Jamaican Gold,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cajamarca,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Kumataka,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Orange Thai,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Thai,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Thai Dragon,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Yellow Thai,,,,,,150000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Carolina Cayenne,,,,,,125000,,,http://pepperheadsforlife.com/carolina-cayenne-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tabiche Pepper,,,,,,115000,,,http://pepperheadsforlife.com/tabiche-pepper-scoville-units-shu/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bahamian Pepper,,,,,,110000,,,http://pepperheadsforlife.com/scoville-units-bahamian-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Cito,,,,,,108000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Piperine,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
African Birds Eye Chili,,,,,,100000,,,http://pepperheadsforlife.com/birds-eye-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Byadgi Chili,,,,,,100000,,,http://pepperheadsforlife.com/the-scoville-scale/byadgi-peppers/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
China Express Chili,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Diablo Grande,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Malagueta,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pepin Chili,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Charapita,,,,,,100000,,,http://pepperheadsforlife.com/the-scoville-scale/aji-charapita/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Lemon Drop,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Rojo Pepper,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Black Scorpion Tongue,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Charleston Hot Pepper,,,,,,100000,,,http://pepperheadsforlife.com/charleston-hot-chili/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chiltepin Pepper,,,,,,100000,,,http://pepperheadsforlife.com/chiltepin-pepper-scoville-units-shu/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cili Goronong,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Firecracker Pequin Pepper,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Indian Jwala Pepper,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Mayan Cobanero Love Pepper,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Peri-Peri Chili,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Siling Labuyo Pepper,,,,,,100000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Thai Pepper,,,,,,100000,,,http://pepperheadsforlife.com/thai-pepper-scoville-units-shu/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Golden Cayenne Pepper,,,,,,85000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Suryaki Cluster,,,,,,81400,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Haimen,,,,,,80000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Amazon,,,,,,75000,,,http://pepperheadsforlife.com/red-amazon-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tien Tsin Pepper,,,,,,75000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Yatsafusa,,,,,,75000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chi Chien Pepper,,,,,,70000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Prik Kee Noo,,,,,,70000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Gingerol,,,,,,60000,,,http://pepperheadsforlife.com/pepper-extract-scale/gingerol/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pequin Pepper,,,,,,58000,,,http://pepperheadsforlife.com/pequin-pepper-scoville-units-shu-3/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Piquin,,,,,,58000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
African Pequin,,,,,,57000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chile Grande Pepper,,,,,,55000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Limo,,,,,,50000,,,http://pepperheadsforlife.com/aji-limo-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aci Sivri Chili,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Balloon Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Brazilian Starfish pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cumari Pepper,,,,,,50000,,,http://pepperheadsforlife.com/cumari-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Guntur Chili,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Satans Kiss Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tricolor variegata Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Wild Baccatum,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Amarillo,,,,,,50000,,,http://pepperheadsforlife.com/aji-amarillo-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Crystal Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Omnicolor Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Akabare,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aurora,,,,,,50000,,,http://pepperheadsforlife.com/the-scoville-scale/aurora-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bishops Crown Chili,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Black Cuban Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bolivian Rainbow Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bonney,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cayenne Pepper,,,,,,50000,,,http://pepperheadsforlife.com/cayenne-pepper-scoville-units-shu/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chinese Five Color Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Coban,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Demre,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Desi Teekhi,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Diente de Perro,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
DKurnool,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dong Xuan Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dunso,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Etna,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Explosive Ember Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Faria,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Fiji,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Filius Blue Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Fluorescent Purple Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Goat Horn Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Guarani,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Hermosillo,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Hot Portugal Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Inca Berry Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Kurnool Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Large Purple Cayenne Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Large Red Thick Cayenne Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Little Nubian Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Maras Biber,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Marbles Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
McMahon’s Texas Bird Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Medusa’s Head Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
NuMex Twilight Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Orange Manzano Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Punjab,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Purple Prince,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pusa Jwala,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Rain Forest Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Manzano Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Red Squash Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Rooster Spur Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Santaka Pepper,,,,,,50000,,,http://pepperheadsforlife.com/santaka-pepper-scoville-units-shu/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Siling Haba Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Super Chili,,,,,,50000,,,http://pepperheadsforlife.com/scoville-units-super-chili-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tabasco Pepper,,,,,,50000,,,http://pepperheadsforlife.com/tabasco-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Urfa Biber,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Yellow Manzano Pepper,,,,,,50000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Long Slim Cayenne Pepper,,,,,,45000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Beni Highland,,,,,,42600,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dundicut,,,,,,40000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Guntur Sannam Pepper,,,,,,40000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chile de Arbol,,,,,,30000,,,http://pepperheadsforlife.com/de-arbol-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Japones Chili,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Abchazskij Ostruyi,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Afega Longa,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Carmine,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Criolla Sella,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ata Barukono,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Australian Latern,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Berbere,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Beslers Cherry,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Black Pearl,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Black Prince,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bode Amarela,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bombilla Amarilla,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bonanza Brasileira,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Bubba,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cabai Burong,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Cabai Merah Besar,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Caballero,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chao Tian Jiao,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pico de Pajaro,,,,,,30000,,,http://pepperheadsforlife.com/the-scoville-scale/pico-de-pajaro/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chile Inayague,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chile Maya,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chile Pepe,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chilito de Simojovel,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chinchi Uchu,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chivato,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chupetinho,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
De árbol Pepper,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dedo de Bahamas,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Dieng Plateau,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Erva de Bode,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Golden Heat,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Hahony Kacho,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Havaiana,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Holiday Cheer,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Inca Glow,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Inca Laranja,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Inca Red Drop,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Jwala,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Kim Chi,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Lemon Drop,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Little Elf,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Manzano,,,,,,30000,,,http://pepperheadsforlife.com/manzano-pepper-scoville-units/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Merah,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
New Delhi Long,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Onza Yellow,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Orozco,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Peter Pepper,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Pimenta de Bode,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Royal Black,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Shipkas,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Takanotsume,,,,,,30000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Stumpy,,,,,,27000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Gambia,,,,,,26500,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tianying,,,,,,25000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Tears Of Fire,,,,,,23600,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aleppo Pepper,,,,,,23000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Chili Wili Pepper,,,,,,23000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Halabi Pepper,,,,,,23000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Serrano Huasteco Chili,,,,,,23000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Serrano Pepper,,,,,,23000,,,http://pepperheadsforlife.com/scoville-units-serrano-pepper/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Colorado Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Black Hungarian Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Brazilian Pumpkin Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Ají Pineapple Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Onza Roja Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Peruvian Purple Pepper,,,,,,20000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Escabeche,,,,,,17000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Hidalgo Pepper,,,,,,17000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Capsiate,,,,,,16000,,,http://pepperheadsforlife.com/pepper-extract-scale/capsiate/,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Bento,,,,,,15500,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Yellow Wax Pepper,,,,,,15000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Abbraccio,,,,,,15000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Afegã Curta,,,,,,15000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Aji Cobincho,,,,,,15000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
Balãozinho,,,,,,15000,,,,https://pepperheadsforlife.com/the-scoville-scale/,Pepperheads
