name,species,heat,region,origin,min_shu,max_shu,min_jrp,max_jrp,link,source_name
Bahamian Pepper,,,,,95000.0,110000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Tabiche Pepper,,,,,85000.0,115000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Red Amazon Pepper,,,,,75000.0,80000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Thai Pepper,,,,,50000.0,100000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Chiltepin Pepper,,,,,50000.0,100000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Piquin Pepper,,,,,40000.0,58000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Super Chile Pepper,,,,,40000.0,50000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Santaka Pepper,,,,,40000.0,50000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Cayenne Pepper,,,,,30000.0,50000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Tabasco Pepper,,,,,30000.0,50000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
De Arbol Pepper,,,,,15000.0,30000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Manzano Pepper,,,,,12000.0,30000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Serrano Pepper,,,,,6000.0,23000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Hot Wax Pepper,,,,,5000.0,10000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Chipotle Pepper,,,,,5000.0,10000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Santaka Pepper,,,,,2500.0,8000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Jalapeño Pepper,,,,,2500.0,5000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Guajilla Pepper,,,,,2500.0,5000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Rocotilla Pepper,,,,,1500.0,2500,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Pasilla Pepper,,,,,1000.0,2000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Ancho Pepper,,,,,1000.0,2000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Poblano Pepper,,,,,1000.0,2000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Coronado Pepper,,,,,700.0,1000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Anaheim Pepper,,,,,500.0,2500,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
New Mexico Pepper,,,,,500.0,1000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Santa Fe Grande Pepper,,,,,400.0,700,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Cubanelle Pepper,,,,,100.0,1000,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Oncini Pepper,,,,,100.0,500,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Pimento Pepper,,,,,100.0,500,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
Sweet Bell Pepper,,,,,,0,,,https://www.chilliworld.com/factfile/scoville-scale#ChilliPepperScovilleScale,ChiliWorld
